Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Dependency),Outward issue link (Duplicate),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Resolved Bugs/Defect),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (% Closed),Custom field (AE Name),Custom field (Acceptance Criteria),Custom field (Actions),Custom field (Actual Delivery Date),Custom field (Actual Start Date),Custom field (Agile Product Owner),Custom field (Agile QA Owner),Custom field (Aha! Reference),Custom field (Assigned Date),Custom field (Bug Triaged),Custom field (Campaign Overview),Custom field (Capitalizable),Custom field (Cart Click Thru URL),Custom field (Cart number),Custom field (Client Name),Custom field (Code Review Time),Custom field (CodeReview Owner),Custom field (Commercial Required?),Custom field (Conclusion),Custom field (Conclusion),Custom field (Content Schedule),Custom field (Copy),Custom field (Core message and specific copy:),Custom field (Country),Custom field (Country),Custom field (Country),Custom field (Country),Custom field (Country),Custom field (Creative Deliverables),Custom field (Deal Team),Custom field (Defect Found),Custom field (Design Due Date:),Custom field (Desktop CPM),Custom field (Desktop Click Thru URL),Custom field (Desktop impression goal),Custom field (Dev Hrs. Actual),Custom field (Dev Hrs. Estimate),Custom field (Dev Owner),Custom field (Device),Custom field (Display Description),Custom field (Display Name),Custom field (Due Date w/time),Custom field (End Date),Custom field (End Date w/time),Custom field (Environment Tested),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Revenue),Custom field (Flagged),Custom field (Flight End Date),Custom field (Flight Start Date),Custom field (Go Live),Custom field (Homepage takeover date),Custom field (If Commercial Required),"Custom field (If For Print, Color or Black/White?)",Custom field (If Logo Requested),Custom field (If Sponsored),Custom field (If sweepers/liners required),Custom field (Impact Statement),Custom field (Impacted Items),Custom field (Is this for Print or Web?),Custom field (Live Date),Custom field (Local or National),Custom field (Logo Requested),Custom field (Market),Custom field (Mobile CPM),Custom field (Mobile Click Thru URL),Custom field (Mobile impression goal),Custom field (Notes),Custom field (OS),Custom field (Official Contest Rules),Custom field (Owner),Custom field (PA#),Custom field (Page created?),Custom field (Preroll CPM),Custom field (Preroll Click Thru URL),Custom field (Preroll impression goal),Custom field (Primary Genre),Custom field (Primary Keyword),Custom field (Project Notes),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Release Date),Custom field (Requested Delivery Date),Custom field (Requested Placement - Specify),Custom field (Review Notes),Custom field (Risk Level),Custom field (Secondary Genre),Custom field (Send to Print Date:),Custom field (Severity Level),Custom field (Specific PMS colors to use?),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start Date),Custom field (Start Date w/time),Custom field (Station Sponsored?),Custom field (Station Type),Custom field (Station(s) - Specify),Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (Sweepers/Liners Required?),Custom field (Temporary or Permanent),Custom field (TestEng Hrs. Actual),Custom field (TestEng Hrs. Estimate),Custom field (TestEng Owner),Custom field (TestEng Required),Custom field (Testing Notes),Custom field (Testing Points),Custom field (Timeframe),Custom field (URL),Custom field (UXD Sizing),Custom field (Web Bug Prevention strategy),Custom field (What are the dimensions?),Custom field (What is the goal of this piece?),Custom field (What is the tone?),Custom field (What was changed?),Custom field (Who is the audience?),Custom field (git pull request url),Custom field (git sha1),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Expose gui and introspection on graphiql link,AR-4348,646599,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,1119767,1119767,1119767,09/Jul/18 11:25 AM,23/Jul/18 1:21 PM,03/May/19 9:49 AM,10/Jul/18 12:41 PM,,2018.7.10,,WebApi,,,,0,,,,,,1119767,ccrnyc2msw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/Jul/18 12:00 AM,,,,,,,,,,,,,,,,,,,1|hzyo0n:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_14_Neuromancer,,,,,,,,,,,,1.0,,,,,,,Load /graphiql and view schema explorer: https://v-e7e23a04.radioedit.iheart.com/graphiql,,,,,,,,,,,,,"10/Jul/18 12:41 PM;ccrnyc2msw;Discussed with Mark on HipChat.  This ticket is to update the graphiql interface to a newer version at the request of the web team.

While testing this, found it quirky that you need to manually set the request.credentials value, which seems like a steps backwards to me.  As this was an engineering-requested change and engineering is the primary consumer of this interface, I'm ok with shipping as is - with the understanding that once the underlying issue is resolved (https://github.com/prismagraphql/graphql-playground/issues/741), we would update to no longer require a user to change request.credentials.  

{quote}[11:08 AM] Mark Cahill: open settings, and change this:
[11:08 AM] Mark Cahill:
    ""request.credentials"": ""same-origin"",
[11:09 AM] Mark Cahill: it's a one-time setting change that it won't allow us to control from the server, try as we might{quote}",,,,,,,,,,,,,,,,,,,,,
HTML Sitemap API Spike,AR-4346,646510,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,1119767,ccrnyc2msw,ccrnyc2msw,06/Jul/18 11:57 AM,18/Jul/18 5:34 PM,03/May/19 9:49 AM,18/Jul/18 5:34 PM,,,,,,,,0,,,,"What APIs need to be changed in order to support a NY TImes-style HTML sitemap where we can segment content by year/month - with a list view pointing to individual detail pages?

http://spiderbites.nytimes.com/",,1119767,ccrnyc2msw,,,,,,,,,,,,,,,AL-4151,,,,,,,,,,,,,AR-4400,AL-4517,,,,,,,,,,,,,,,,,,,,,,,"# Discussion of steps needed to get API support for the above
# Jira tickets created for next steps",,,,,,,,,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-3907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzyklz:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_15_Omnius,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,09/Jul/18 9:34 AM;ccrnyc2msw;This is to think through which APIs need to change to support an HTML sitemap... how to return content segmented by month/year to generate pages similar to what the NY Times has.  ,"18/Jul/18 3:13 PM;1119767;Pubsub will need a new parameter for pub_start $gte, potentially called pub_after. Fire will generate two levels of static HTML pages for year and month, and will then reach out to pubsub to grab that one month's content for that site. On the site's HTML sitemap, there will be a link to the microsite's HTML sitemap for each of its owned microsites.","18/Jul/18 3:47 PM;ccrnyc2msw;I want to make sure we're hitting all the technical points from the SEO audit.

From page 60:

{quote}Recommended HTML Sitemap Format

Technical standards for developing an HTML sitemap are:

* The sitemap can be organized by date or topic; whichever is most appropriate.
* The sitemap should utilize only basic template formatting without any ads or other extraneous content.
* Only canonical URLs should be included in the sitemap; any duplicate content URLs should be excluded.
* The sitemap URLs should be static and every page must contain a link back to the main page of the sitemap.
* Utilize a flat file structure with every landing page URL no more than 3-4 levels deep in the sitemap.
* No single sitemap page should have more than 200 links or be larger than 100K (the
sitemap can be paginated to allow for categories that contain many links).
* When paginating the sitemap, provide links to 10-20 pages on every page (i.e. [1 2 3 4 5 6 7 8 9 10 11 …. Next] instead of just next/previous links).
* Only links to crawler accessible content should be included. URLs that are blocked by robots.txt, pages with a “noindex” META tag and redirected URLs should all be omitted.
* The HTML sitemap should be updated daily or as new content creation dictates.
* Content should be linked in descending order to expose the most recent content first.
* For multi-page content such as slideshows, include the URL for each slide (except in cases in which having the individual slides be indexed and ranked independently is not desired).
* For multi-page articles, only the URL for page one should be included
* Have a link to the HTML sitemap on all pages of a site (typically in a footer)
* Give each page in the sitemap a unique HTML title tag. The format will vary based on the way the sitemap is organized, but differentiate by section or date, as well as page number.
* Each sitemap page should have a self-referencing rel=canonical tag (i.e. the rel=canonical tag should point to the canonical URL for that specific page)

Examples of HTML sitemaps that follow best practices include:
http://www.huffingtonpost.com/archive/
https://www.airbnb.com/sitemaps
http://spiderbites.nytimes.com/
http://www.eonline.com/sitemap{quote}","18/Jul/18 5:34 PM;1119767;Pubsub change: AR-4400
Fire change: AR-4401",,,,,,,,,,,,,,,,,,
XSLT Processing Support for Batch Podcast Creation,AR-4345,646509,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,gvilches,ccrnyc2msw,ccrnyc2msw,06/Jul/18 11:57 AM,20/Nov/18 10:06 AM,03/May/19 9:49 AM,25/Jul/18 3:03 PM,,2018.11.19,,,,,,0,,,,See https://docs.google.com/document/d/1a2l9XkyS_zdw65PcBVQRl5xs2d6YExs86izvWkwraCY/edit,,ccrnyc2msw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capitalizable,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-4370,,,,,,,,,,,,,,,,,19/Nov/18 12:00 AM,,,,,,,,,,,,,,,,,,,1|hzyklb:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_15_Omnius,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Build System - Proxy Support,AR-4344,646508,,Story,Submitted,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,,tterry,ccrnyc2msw,ccrnyc2msw,06/Jul/18 11:57 AM,05/Oct/18 8:49 AM,03/May/19 9:49 AM,,,,,Platform,,,,0,,,,"Add connection weighting, canary and other traffic shaping strategies to Proxy.",,ccrnyc2msw,tlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-4090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hz77cn:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_16_Proteus,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,"25/Jul/18 9:39 AM;tlong;Add connection weighting, canary and other traffic shaping strategies to Proxy.",,,,,,,,,,,,,,,,,,,,,
Build System - Switch to Internal Version Numbers,AR-4343,646507,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,tterry,ccrnyc2msw,ccrnyc2msw,06/Jul/18 11:56 AM,06/Aug/18 4:34 PM,03/May/19 9:49 AM,06/Aug/18 4:34 PM,,,,Platform,,,,0,,,,,,ccrnyc2msw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-4090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hz7jnr:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_15_Omnius,RadioEdit_16_Proteus,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country admins should be able to create new markets,AR-4342,646502,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,amamut,amamut,amamut,06/Jul/18 11:08 AM,19/Oct/18 2:40 PM,03/May/19 9:49 AM,30/Jul/18 2:15 PM,,2018.10.9 - Streams,,Streams,,,,0,,,,"Country admins currently do not have access the markets collection so they are not able to create new markets in taxonomy.

We need to expose a service in SMT which adds tags and updates metadata for a tag.

We also need to turn off ability to rename markets in SMT because renaming a market recreates a tag in Taxonomy which unlinks every resource using that market tag. This is a security issue.",,amamut,ccrnyc2msw,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-4438,AR-4439,,,,,,,,,,,,24/Jul/18 1:43 PM;ccrnyc2msw;screenshot-1.png;https://jira.ihrint.com/secure/attachment/164120/screenshot-1.png,,,,,,,,,,,"* Country Admins should be able to create new markets
* Country Admins should not be able to rename markets",,,,,,,,,,Capitalizable,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-3378,,,,,,,,,,,,,,,,,09/Oct/18 12:00 AM,,,,,,,,,,,,,,,,,,,1|hzykpz:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_15_Omnius,RadioEdit_16_Proteus,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,"24/Jul/18 1:43 PM;ccrnyc2msw;Tested on stage using RadioEditQA3 which is a country admin for Canada.

Confirmed that I can access the create market screen, however, this user does not have sufficient access to complete all required fields:

# Market Name is required but the field is disabled
# State is required, but no options are available

Unable to test the creation process at this time as I am blocked from saving the new market.  

 !screenshot-1.png|thumbnail! ","25/Jul/18 8:15 AM;amamut;Market name is required and generated from city and state. There is nothing to be filled in by the user.

As for states being blank for Canada, it seems the states taxonomy in stage is missing Canada country to state controlling relationship. Meaning when a country admin has access to a country they should have access to the states by relationship. For some reason the relationships were removed but I have added them back in.",25/Jul/18 12:39 PM;amamut;Updated script to add controlling country tag to states.,"30/Jul/18 2:14 PM;ccrnyc2msw;Re-tested on stage with RadioEditQA3.

Successfully created a market ""NEWCITY-MB"".  Confirmed that I can see the new market in the list view and edit.

Having a field for market name in the current presentation doesn't make sense to me since it is never editable.  Created AR-4438 to address.

Also noticed we're still referencing ""Arbitron"" throughout the product, despite the fact that Arbitron became Nielsen in 2013.  Created AR-4439 to address.",,,,,,,,,,,,,,,,,,
SMT 4: Country Admin Genre Creation,AR-4341,646493,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,amamut,1119007,1119007,06/Jul/18 9:37 AM,19/Oct/18 2:40 PM,03/May/19 9:49 AM,13/Aug/18 11:39 AM,,2018.10.9 - Streams,,Streams,,,,0,,,,"Brand should not be a required field for new genre creation, not all genre's have brands. i.e, Pride. 

Also, countries is not showing when creating a genre -- wouldn't this cause a data error? Should the country admin have access to countries list but limited to just their country? ",,1119007,amamut,ccrnyc2msw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capitalizable,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-3378,,,,,,,,,,,,,,,,,09/Oct/18 12:00 AM,,,,,,,,,,,,,,,,,,,1|hz7jof:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_16_Proteus,RadioEdit_17_Quark,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,"23/Jul/18 8:40 AM;amamut;I'm ok with removing brand as being required.

As for countries, this field is what determines whether a country sees this genre in their list. This needs to be disabled (at the moment) because it will allow for country admins to remove other countries from the genre.

What I can do is if its as new genre allow for the user to add their country. But once they save its disabled for our global admins to modify. We can create another JIRA for better handling this scenario in the future.","23/Jul/18 11:09 AM;ccrnyc2msw;Clarification... it would be disabled for country admins... but global admins would still be able to, correct? ",30/Jul/18 10:21 AM;amamut;correct,"13/Aug/18 11:28 AM;ccrnyc2msw;Tested on stage as RadioEditQA3 which is an NZ country admin.

Confirmed that I was able to create http://stream-manager.radioedit.ihrint.com/#/genre/edit/130 without supplying a brand.  This seems to be good to me.

[~1119007], can you give a look?","13/Aug/18 11:35 AM;1119007;This looks good. I created a new genre w/o brand, and successfully applied it to a station without error. Also, country was limited to just NZ - which is perfect. ",,,,,,,,,,,,,,,,,
SMT 4: Country Admin not Able to Create Provider,AR-4340,646492,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,amamut,1119007,1119007,06/Jul/18 9:31 AM,19/Oct/18 2:40 PM,03/May/19 9:49 AM,08/Aug/18 2:02 PM,,2018.10.9 - Streams,,Streams,,,,0,,,,"Observing errors when creating providers as a Canada Country Admin. 

They are not able to add originating country, or country in which the genre should appear. Can both of these dropdowns be limited just to Canada for each? When i try to save without these values and just the name of the provider, it gives me an invalid data error.

*Please note: The workflow here should be the same for all Country Admins (AU/NZ, etc)*",,1119007,ccrnyc2msw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capitalizable,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-3378,,,,,,,,,,,,,,,,,09/Oct/18 12:00 AM,,,,,,,,,,,,,,,,,,,1|hzyl53:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_16_Proteus,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,"08/Aug/18 12:54 PM;ccrnyc2msw;Tested on stage using RadioEditQA3 which is setup as a NZ country admin.

Successfully created a new provider (http://stream-manager.radioedit.ihrint.com/#/provider/edit/56) and confirmed that only permissioned countries (for this user, NZ only) appear for both the countries and originating countries fields.

Went to the providers list and while the new provider wasn't shown there initially, upon a hard refresh, it did appear.  Unsure if this workflow is used often enough to justify troubleshooting why the new provider didn't appear on the screen on initial load.

[~1119007] ready for your review.  ","08/Aug/18 2:00 PM;1119007;Completely fine with this showing up after a refresh. This looks good to me. Created new provider https://stream-manager.radioedit.ihrint.com/#/provider/edit/57 without issue. 

Thanks [~ccrnyc2msw]",,,,,,,,,,,,,,,,,,,,
Apple News publish preview,AR-4339,646491,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,1119767,1119767,06/Jul/18 9:23 AM,07/Aug/18 2:30 PM,03/May/19 9:49 AM,07/Aug/18 2:30 PM,,,,Content Tool,,,,0,SCRUB2018.06.29,,,"Make Apple News widget on publishing section async, warn user if there are incompatibilities for ANF

Blocked on AR-4097",,1119767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-4097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-3686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzysaf:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_15_Omnius,RadioEdit_16_Proteus,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary above external content items,AR-4338,646489,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,1120341,1119767,1119767,06/Jul/18 9:22 AM,19/Jul/18 3:50 PM,03/May/19 9:49 AM,10/Jul/18 4:20 PM,,,,Content Tool,,,,0,SCRUB2018.06.29,,,Add summary display above article preview (external iframe) similar to the current content tool.,,1119767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-3686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzynnz:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_14_Neuromancer,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prevent duplicate items from a single feed item,AR-4337,646488,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,aroberts,1119767,1119767,06/Jul/18 9:19 AM,19/Jul/18 3:50 PM,03/May/19 9:49 AM,19/Jul/18 10:06 AM,,,,Content Tool,,,,0,SCRUB2018.06.29,,,"Disable ""Save to Content"" action and display link to existing content based on this feed item",,1119767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-3686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzykq7:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_15_Omnius,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some items get improperly converted to HTML,AR-4336,646487,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,1119767,1119767,1119767,06/Jul/18 9:15 AM,24/Jul/18 4:24 PM,03/May/19 9:49 AM,24/Jul/18 4:24 PM,,,,Content Tool,,,,0,SCRUB2018.06.29,,,Feed articles should add the content body to the new item.,,1119767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-3686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzyl47:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_15_Omnius,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,19/Jul/18 10:55 AM;1119767;Populating primary image already works. See 5b50a651ba3145ad80123417.,19/Jul/18 11:02 AM;1119767;Coast to coast seems to have an article image that doesn't come across during ingestion. This is probably an isolation case. See https://www.coasttocoastam.com/article/interactive-volcano-map.,"19/Jul/18 11:06 AM;1119767;Found this in another c2c article:

{code}
<p>
&lt;div class=&quot;video-container&quot;&gt;&lt;iframe width=&quot;560&quot; height=&quot;315&quot; src=&quot;https://www.youtube.com/embed/4YSAizUNh60&quot; frameborder=&quot;0&quot; allow=&quot;autoplay; encrypted-media&quot; allowfullscreen&gt;&lt;/iframe&gt;&lt;/div&gt;
</p>
{code}

I'm going to say c2c is just a bad data source and move on with life. :|",19/Jul/18 4:30 PM;1119767;Here's an article that just plain doesn't parse right: http://content.dev-radioedit.ihrint.com/feeds/content%2F001-ufo-boy-captivates-japan,"20/Jul/18 3:45 PM;1119767;It is converted to an IItem properly:

{code}
blocks
:
type
:
""flex""
value
:
flex
:
blocks
:
Array(1)
0
:
schedule
:
{enabled: false, begin: 0, end: 0}
type
:
""text""
value
:
text
:
ops
:
Array(8)
0
:
{insert: ""↵A teenager in Japan has become something of a sen…eged psychic skills. To that end, Yamaguchi told "", attributes: {…}}
1
:
{insert: ""Japanese media"", attributes: {…}}
2
:
{insert: "" that Ido can sense, via telepathy, where a UFO will be and, in turn, photograph the object.↵"", attributes: {…}}
3
:
{insert: ""↵↵"", attributes: {…}}
4
:
{insert: ""↵Backing up the UFO researcher's bold assertion ar… story have gone viral on Japanese social media.↵"", attributes: {…}}
5
:
{insert: ""↵↵"", attributes: {…}}
6
:
{insert: ""↵Remarkably, the veteran UFO researcher said that …oncerns by conjuring a craft in the sky for him.↵"", attributes: {…}}
7
:
{insert: ""↵↵"", attributes: {…}}
{code}",,,,,,,,,,,,,,,,,
Turn on image loading in asset renderer,AR-4335,646486,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,aroberts,1119767,1119767,06/Jul/18 9:12 AM,19/Jul/18 3:50 PM,03/May/19 9:49 AM,16/Jul/18 10:08 AM,,,,Content Tool,,,,0,SCRUB2018.06.29,,,Needs image loading UX on gallery block,,1119767,tlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-3686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzyknr:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_14_Neuromancer,RadioEdit_15_Omnius,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,"10/Jul/18 8:49 AM;1119767;The only loading animation I see is the mask-show class applied to the element: https://github.com/ihr-radioedit-apps/regui/blob/8.x/src/widgets/asset-selector/components/asset-renderer/asset-renderer.html#L4

This just causes the opacity on the element to be slightly reduced during load, which has no effect for a white element on a white background: https://github.com/ihr-radioedit-apps/regui/blob/8.x/src/widgets/asset-selector/components/asset-renderer/asset-renderer.css#L52","10/Jul/18 8:54 AM;1119767;There is a .renderable class that seems to have a spinner of some sort: https://github.com/ihr-radioedit-apps/regui/blob/8.x/src/widgets/asset-selector/components/asset-renderer/asset-renderer.css#L93
","10/Jul/18 9:52 AM;1119767;I confirmed that it is properly applying all classes. The :before has a content: none even when .rendering but not .rendered, which tells me something isn't being applied correctly. Not sure what's going on there.","16/Jul/18 10:07 AM;tlong;No need to test, parity work.",,,,,,,,,,,,,,,,,,
Implement image blot inside text block,AR-4334,646485,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,1119767,1119767,1119767,06/Jul/18 9:11 AM,19/Jul/18 3:50 PM,03/May/19 9:49 AM,13/Jul/18 12:41 PM,,,,Content Tool,,,,0,SCRUB2018.06.29,,,"Add inline image selection like the old version of the old tool. Pasting is already supported, so there is likely some overlap here. It may be as simple as adding a button.",,1119767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-3686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzykov:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_15_Omnius,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implement content linking blot inside text block,AR-4333,646484,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,1119767,1119767,1119767,06/Jul/18 9:10 AM,19/Jul/18 3:50 PM,03/May/19 9:49 AM,19/Jul/18 12:31 PM,,,,Content Tool,,,,0,SCRUB2018.06.29,,,,,1119767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-3686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzykon:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_15_Omnius,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implement catalog blot inside text block,AR-4332,646483,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,1119767,1119767,1119767,06/Jul/18 9:09 AM,19/Jul/18 3:50 PM,03/May/19 9:49 AM,17/Jul/18 4:46 PM,,,,Content Tool,,,,0,SCRUB2018.06.29,,,,,1119767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-3686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzykof:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_15_Omnius,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,"17/Jul/18 5:03 PM;1119767;Trey wants to use pseudo URLs in storage, just like assets.",,,,,,,,,,,,,,,,,,,,,
